NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,offensegroup,LONGITUDE,END_DATE,offense-text,SHIFT,YBLOCK,DISTRICT,WARD,YEAR,offensekey,BID,sector,PSA,ucr-rank,BLOCK_GROUP,VOTING_PRECINCT,XBLOCK,BLOCK,START_DATE,CCN,OFFENSE,OCTO_RECORD_ID,ANC,REPORT_DAT,METHOD,location,LATITUDE
cluster 11,1100,property,-77.08031717,2019-06-08T18:55:53.000,theft/other,evening,142615,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393038,4700 - 4799 block of 41st street nw,2019-06-08T12:20:34.000,19099898,theft/other,19099898-01,3E,2019-06-09T1:58:29.000Z,others,"38.951414973541638,-77.080319481278337",38.95140718
cluster 11,1100,property,-77.0795769,2019-06-05T22:25:46.000,theft/other,midnight,142423,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393102,4000 - 4099 block of brandywine street nw,2019-06-05T21:11:23.000,19097977,theft/other,19097977-01,3E,2019-06-06T7:20:21.000Z,others,"38.949685890292486,-77.07957921395662",38.9496781
cluster 11,1100,property,-77.0795769,2019-07-25T13:00:25.000,theft/other,evening,142423,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393102,4000 - 4099 block of brandywine street nw,2019-07-25T09:10:03.000,19130403,theft/other,19130403-01,3E,2019-07-25T23:30:34.000Z,others,"38.949685890292486,-77.07957921395662",38.9496781
cluster 11,1001,property,-77.0803032,2019-08-10T21:07:07.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-08-10T20:31:09.000,19141241,theft/other,19141241-01,3E,2019-08-11T1:46:57.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1001,property,-77.0803032,,theft/other,day,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-08-15T09:03:18.000,19144080,theft/other,19144080-01,3E,2019-08-15T13:40:30.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1001,property,-77.07994458,2019-07-09T13:36:57.000,theft/other,day,142276,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393070,4500 - 4537 block of wisconsin avenue nw,2019-07-08T17:30:32.000,19119844,theft/other,19119844-01,3E,2019-07-09T17:36:34.000Z,others,"38.948361422070178,-77.079946888011946",38.94835363
cluster 11,1100,property,-77.07874705,2019-08-07T09:40:32.000,theft f/auto,day,142499,2,3,2019,property|theft f/auto,,2D1,202,7,001100 4,precinct 32,393174,4620 - 4699 block of 40th street nw,2019-08-07T09:15:16.000,19138851,theft f/auto,19138851-01,3E,2019-08-07T14:33:15.000Z,others,"38.95037108149068,-77.078749362021625",38.95036329
cluster 11,1001,property,-77.0803032,2019-07-26T22:00:25.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-07-26T21:45:08.000,19131405,theft/other,19131405-01,3E,2019-07-27T2:46:30.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1002,property,-77.07812989,2019-02-09T02:56:48.000,theft/other,midnight,141918,2,3,2019,property|theft/other,,2D1,202,6,001002 3,precinct 30,393227,4300 - 4326 block of wisconsin avenue nw,2019-02-09T00:58:42.000,19023360,theft/other,19023360-01,3E,2019-02-09T11:07:19.000Z,others,"38.945137682935105,-77.078132199358564",38.94512989
cluster 11,1001,property,-77.07944756,2019-02-14T08:56:57.000,theft f/auto,day,142180,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,393113,4404 - 4499 block of wisconsin avenue nw,2019-02-14T08:54:47.000,19026365,theft f/auto,19026365-01,3E,2019-02-14T15:24:36.000Z,others,"38.947496965723687,-77.079449875645935",38.94748917
cluster 11,1001,property,-77.07944756,2019-02-14T10:28:18.000,theft f/auto,day,142180,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,393113,4404 - 4499 block of wisconsin avenue nw,2019-02-14T08:53:25.000,19026370,theft f/auto,19026370-01,3E,2019-02-14T15:27:46.000Z,others,"38.947496965723687,-77.079449875645935",38.94748917
cluster 11,1001,property,-77.0805698,2018-10-16T23:59:02.000,theft/other,day,142500,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393016,4600 - 4699 block of wisconsin avenue nw,2018-07-19T00:01:23.000,19021438,theft/other,19021438-01,3E,2019-02-06T16:56:10.000Z,others,"38.950378847715349,-77.080572113417659",38.95037105
cluster 11,1001,property,-77.07944756,2019-08-25T16:10:09.000,theft/other,evening,142180,2,3,2019,property|theft/other,,2D1,202,6,001001 4,precinct 30,393113,4404 - 4499 block of wisconsin avenue nw,2019-08-25T15:00:02.000,19150833,theft/other,19150833-01,3E,2019-08-25T21:21:44.000Z,others,"38.947496965723687,-77.079449875645935",38.94748917
cluster 11,1100,property,-77.07851457,,theft/other,evening,142322,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393194,4500 - 4599 block of fort drive nw,2019-12-19T14:19:43.000,19225703,theft/other,19225703-01,3E,2019-12-19T20:09:14.000Z,others,"38.948776772258078,-77.078516878977283",38.94876898
cluster 11,1001,property,-77.07994458,2019-12-23T15:33:59.000,theft/other,evening,142276,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393070,4500 - 4537 block of wisconsin avenue nw,2019-12-23T15:31:56.000,19228140,theft/other,19228140-01,3E,2019-12-23T21:38:34.000Z,others,"38.948361422070178,-77.079946888011946",38.94835363
cluster 11,1001,property,-77.08439694,2019-02-24T09:00:00.000,theft f/auto,day,142226,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,392684,4300 - 4326 block of albemarle street nw,2019-02-23T13:00:00.000,19400291,theft f/auto,19400291-01,3E,2019-02-27T18:49:18.000Z,others,"38.947907878214473,-77.084399255025204",38.94790008
cluster 11,1002,property,-77.07770224,2019-08-12T14:35:04.000,theft/other,evening,141833,2,3,2019,property|theft/other,,2D1,202,6,001002 3,precinct 30,393264,4227 - 4299 block of wisconsin avenue nw,2019-08-12T14:31:44.000,19142286,theft/other,19142286-01,3E,2019-08-12T19:13:52.000Z,others,"38.944372263458654,-77.077704551584901",38.94436447
cluster 11,1100,property,-77.07794834,2019-07-23T12:45:50.000,theft f/auto,day,142225,2,3,2019,property|theft f/auto,,2D1,202,7,001100 4,precinct 32,393243,3901 - 3979 block of albemarle street nw,2019-07-23T11:30:22.000,19128944,theft f/auto,19128944-01,3E,2019-07-23T17:24:02.000Z,others,"38.947903347799468,-77.077950655570831",38.94789555
cluster 11,1100,property,-77.08031717,2019-03-02T12:55:44.000,theft f/auto,day,142615,2,3,2019,property|theft f/auto,,2D1,202,7,001100 4,precinct 32,393038,4700 - 4799 block of 41st street nw,2019-03-02T12:30:44.000,19035984,theft f/auto,19035984-01,3E,2019-03-02T18:33:26.000Z,others,"38.951414973541638,-77.080319481278337",38.95140718
cluster 11,1001,property,-77.0803032,2019-03-12T19:41:11.000,theft/other,evening,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-03-12T19:39:15.000,19042065,theft/other,19042065-01,3E,2019-03-13T0:29:46.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
cluster 11,1200,property,-77.07703404,2019-03-02T12:30:52.000,theft f/auto,day,141920,2,3,2019,property|theft f/auto,,2D1,202,7,001200 4,precinct 33,393322,4300 - 4349 block of 39th street nw,2019-03-02T12:00:49.000,19035986,theft f/auto,19035986-01,3E,2019-03-02T19:05:38.000Z,others,"38.945156426833456,-77.077036347251095",38.94514863
cluster 11,1001,violent,-77.07956053,2019-03-13T10:47:54.000,sex abuse,evening,141942,2,3,2019,violent|sex abuse,,2D1,202,2,001001 4,precinct 30,393103,4300 - 4399 block of nebraska avenue nw,2019-03-13T10:45:47.000,19042374,sex abuse,19042374-01,3E,2019-03-13T21:21:41.000Z,others,"38.945352916860365,-77.079562841417513",38.94534512
cluster 11,1001,property,-77.07944756,2019-07-28T13:40:32.000,theft f/auto,evening,142180,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,393113,4404 - 4499 block of wisconsin avenue nw,2019-07-28T12:30:37.000,19132477,theft f/auto,19132477-01,3E,2019-07-29T0:37:36.000Z,others,"38.947496965723687,-77.079449875645935",38.94748917
cluster 11,1001,violent,-77.08103261,2019-08-08T14:20:03.000,assault w/dangerous weapon,evening,142632,2,3,2019,violent|assault w/dangerous weapon,,2D1,202,3,001001 2,precinct 31,392976,4700 - 4799 block of wisconsin avenue nw,2019-08-08T12:37:35.000,19139687,assault w/dangerous weapon,19139687-01,3E,2019-08-08T19:35:13.000Z,knife,"38.951567620528181,-77.081034918727568",38.95155983
cluster 11,1001,property,-77.08057672,2019-08-16T18:20:22.000,theft f/auto,evening,142046,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,393015,4000 - 4199 block of yuma street nw,2019-08-16T17:50:00.000,19145097,theft f/auto,19145097-01,3E,2019-08-17T0:05:26.000Z,others,"38.94628908264604,-77.080579026573687",38.94628129
cluster 11,1100,property,-77.07851457,2019-07-01T13:00:26.000,theft/other,day,142322,2,3,2019,property|theft/other,,2D1,202,6,001100 4,precinct 32,393194,4500 - 4599 block of fort drive nw,2019-07-01T11:45:01.000,19114617,theft/other,19114617-01,3E,2019-07-01T18:11:12.000Z,others,"38.948776772258078,-77.078516878977283",38.94876898
cluster 11,1001,property,-77.0837832,2019-02-19T17:46:00.000,theft f/auto,evening,142005,2,3,2019,property|theft f/auto,,2D1,202,7,001001 4,precinct 30,392737,4316 - 4399 block of 43rd street nw,2019-02-19T16:50:50.000,19029595,theft f/auto,19029595-01,3E,2019-02-19T23:16:16.000Z,others,"38.94591748864395,-77.083785510359391",38.94590969
cluster 11,1001,property,-77.0803032,2019-02-25T22:47:16.000,theft/other,midnight,142375,2,3,2019,property|theft/other,,2D1,202,6,001001 2,precinct 31,393039,4530 - 4599 block of wisconsin avenue nw,2019-02-25T22:44:00.000,19033278,theft/other,19033278-01,3E,2019-02-26T4:54:07.000Z,others,"38.949252996159018,-77.080305509059869",38.9492452
